seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	762042	762071	30	*	X00001	643837	762971	794826	31856	+	899	upstream	899	LINC01128
chr1	762937	763016	80	*	X00002	643837	762971	794826	31856	+	0	overlapStart	0	LINC01128
chr1	762937	763016	80	*	X00002	79854	761586	762902	1317	-	34	upstream	34	LINC00115
chr1	860270	860419	150	*	X00006	148398	860530	879961	19432	+	110	upstream	110	SAMD11
chr1	894601	894720	120	*	X00011	339451	895967	901099	5133	+	1246	upstream	1246	KLHL17
chr1	894601	894720	120	*	X00011	26155	879583	894679	15097	-	0	overlapStart	0	NOC2L
chr1	895607	896055	449	*	X00012	339451	895967	901099	5133	+	0	overlapStart	0	KLHL17
chr1	895607	896055	449	*	X00012	26155	879583	894679	15097	-	927	upstream	927	NOC2L
chr1	936696	936720	25	*	X00014	57801	934342	935552	1211	-	1143	upstream	1143	HES4
chr1	936807	936994	188	*	X00015	57801	934342	935552	1211	-	1254	upstream	1254	HES4
chr1	948638	948742	105	*	X00016	9636	948847	949919	1073	+	104	upstream	104	ISG15
chr1	955432	955471	40	*	X00017	375790	955503	991499	35997	+	31	upstream	31	AGRN
chr1	1051311	1051445	135	*	X00034	54991	1017198	1051736	34539	-	0	inside	290	C1orf159
chr1	1052286	1052409	124	*	X00035	54991	1017198	1051736	34539	-	549	upstream	549	C1orf159
chr1	1072024	1072118	95	*	X00036	254099	1072397	1079434	7038	+	278	upstream	278	LINC01342
chr1	1109462	1109470	9	*	X00037	254173	1109286	1133313	24028	+	0	inside	175	TTLL10
chr1	1182172	1182394	223	*	X00041	388581	1177826	1182102	4277	-	69	upstream	69	C1QTNF12
chr1	1209338	1209599	262	*	X00042	118424	1189292	1209234	19943	-	103	upstream	103	UBE2J2
chr1	1209863	1209868	6	*	X00043	118424	1189292	1209234	19943	-	628	upstream	628	UBE2J2
chr1	1242550	1242654	105	*	X00044	126789	1243994	1247057	3064	+	1339	upstream	1339	PUSL1
chr1	1243000	1243089	90	*	X00045	126789	1243994	1247057	3064	+	904	upstream	904	PUSL1
chr1	1243195	1243314	120	*	X00046	126789	1243994	1247057	3064	+	679	upstream	679	PUSL1
chr1	1244950	1245054	105	*	X00048	116983	1227764	1244989	17226	-	0	overlapStart	0	ACAP3
chr1	1259558	1259709	152	*	X00049	80772	1260143	1264276	4134	+	433	upstream	433	CPTP
chr1	1260131	1260265	135	*	X00050	80772	1260143	1264276	4134	+	0	overlapStart	0	CPTP
chr1	1260131	1260265	135	*	X00050	54973	1246965	1260067	13103	-	63	upstream	63	INTS11
chr1	1260310	1260414	105	*	X00051	80772	1260143	1264276	4134	+	0	inside	166	CPTP
chr1	1260310	1260414	105	*	X00051	54973	1246965	1260067	13103	-	242	upstream	242	INTS11
chr1	1284445	1284594	150	*	X00053	1855	1270658	1284492	13835	-	0	overlapStart	0	DVL1
chr1	1285344	1285421	78	*	X00054	1855	1270658	1284492	13835	-	851	upstream	851	DVL1
chr1	1334266	1334385	120	*	X00056	148413	1334910	1337426	2517	+	524	upstream	524	MRPL20-AS1
chr1	1335755	1335874	120	*	X00057	81669	1321091	1334718	13628	-	1036	upstream	1036	CCNL2
chr1	1370107	1370226	120	*	X00061	64856	1370903	1378262	7360	+	676	upstream	676	VWA1
chr1	1370992	1371096	105	*	X00062	64856	1370903	1378262	7360	+	0	inside	88	VWA1
chr1	1406087	1406102	16	*	X00065	83858	1407164	1444689	37526	+	1061	upstream	1061	ATAD3B
chr1	1406307	1406516	210	*	X00066	83858	1407164	1444689	37526	+	647	upstream	647	ATAD3B
chr1	1446979	1447098	120	*	X00067	55210	1447523	1470067	22545	+	424	upstream	424	ATAD3A
chr1	1475517	1475553	37	*	X00069	339453	1470158	1475740	5583	-	0	inside	186	TMEM240
chr1	1475569	1475838	270	*	X00071	339453	1470158	1475740	5583	-	0	overlapStart	0	TMEM240
chr1	1475869	1476208	340	*	X00072	339453	1470158	1475740	5583	-	128	upstream	128	TMEM240
chr1	1535595	1535729	135	*	X00073	643988	1533388	1535476	2089	-	118	upstream	118	FNDC10
chr1	1566977	1567026	50	*	X00076	8510	1567560	1570030	2471	+	533	upstream	533	MMP23B
